open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,can_be_ignored
1680307200000,28465.36,28481.48,28465.36,28480.07,26.31939,1680307259999,749493.3092454,932,15.31042,435969.5827027,0
1680307260000,28480.07,28481.79,28465.36,28465.37,18.34987,1680307319999,522487.110902,820,5.11529,145662.5823113,0
1680307320000,28465.37,28479.99,28457.43,28464.41,49.80521,1680307379999,1417806.5637498,1229,20.92491,595584.3117743,0
1680307380000,28464.42,28464.42,28451.92,28453.98,23.10271,1680307439999,657382.287658,819,9.42782,268261.5106318,0
1680307440000,28453.98,28453.98,28448.94,28453.55,39.77908,1680307499999,1131742.0057858,973,12.82993,365013.4911018,0
1680307500000,28453.55,28470.35,28451.77,28470.14,29.54716,1680307559999,840958.1259162,1023,12.19623,347105.5074291,0
1680307560000,28470.35,28483.42,28470.15,28483.41,18.39562,1680307619999,523898.4243796,760,12.73967,362811.4319879,0
1680307620000,28483.41,28489.56,28483.41,28485.42,25.65795,1680307679999,730926.1126584,824,12.76735,363699.7594402,0
1680307680000,28485.43,28491.14,28485.42,28491.14,10.20239,1680307739999,290643.6098139,569,7.46858,212761.7585093,0
1680307740000,28491.13,28494.24,28491.13,28493.54,16.65982,1680307799999,474680.4742527,729,9.38148,267297.5997284,0
1680307800000,28493.54,28493.67,28493.53,28493.66,8.58286,1680307859999,244556.3272626,463,6.17079,175827.7950357,0
1680307860000,28493.67,28493.67,28479.16,28480.29,24.29548,1680307919999,692118.7565235,705,9.30535,265071.8808066,0
1680307920000,28480.29,28481.6,28480.29,28481.6,7.51114,1680307979999,213923.2432031,594,5.22559,148828.3465216,0
1680307980000,28481.6,28497.95,28481.59,28497.95,23.00384,1680308039999,655369.1476961,722,19.23653,548026.7817124,0
1680308040000,28497.94,28500.0,28497.94,28500.0,7.90745,1680308099999,225359.5414305,462,6.60207,188156.6044707,0
1680308100000,28499.99,28516.48,28499.99,28516.48,31.25817,1680308159999,891088.5788745,991,19.37206,552252.2761718,0
1680308160000,28516.48,28539.76,28513.13,28538.42,39.85522,1680308219999,1136983.892343,1321,19.1176,545402.5584398,0
1680308220000,28538.43,28547.2,28538.42,28547.12,74.66254,1680308279999,2130928.5207753,789,66.73503,1904642.1957251,0
1680308280000,28547.12,28547.13,28531.93,28533.87,34.25646,1680308339999,977656.1250375,659,8.59471,245283.2272044,0
1680308340000,28533.87,28539.99,28533.87,28539.98,15.82524,1680308399999,451597.7576354,662,10.43172,297688.3698871,0
1680308400000,28539.98,28539.99,28539.0,28539.98,32.22136,1680308459999,919590.9465593,653,24.18715,690297.6420588,0
1680308460000,28539.99,28539.99,28520.0,28520.01,27.31942,1680308519999,779432.3867118,785,5.46444,155891.2357199,0
1680308520000,28520.0,28520.01,28508.06,28508.06,20.43718,1680308579999,582745.4591459,577,7.83417,223365.2415692,0
1680308580000,28508.07,28508.07,28475.0,28476.04,45.64734,1680308639999,1300576.5727008,1149,19.21514,547536.2733152,0
1680308640000,28476.03,28486.86,28468.06,28480.01,42.70972,1680308699999,1216216.4212255,1092,23.17277,659927.2671697,0
1680308700000,28480.01,28485.43,28473.08,28485.42,20.52866,1680308759999,584592.7605778,781,11.45636,326244.8932476,0
1680308760000,28485.42,28503.98,28485.42,28503.8,25.0779,1680308819999,714653.8128252,709,12.97255,369655.7128694,0
1680308820000,28503.8,28508.15,28495.59,28495.59,13.53497,1680308879999,385796.1857314,679,4.50967,128540.4447543,0
1680308880000,28495.6,28495.6,28486.33,28487.15,19.48984,1680308939999,555245.8319457,549,6.64785,189392.772367,0
1680308940000,28487.16,28491.25,28487.15,28488.65,12.2088,1680308999999,347805.7803662,571,6.59228,187798.9395167,0
1680309000000,28488.66,28488.66,28459.97,28469.76,92.80651,1680309059999,2642116.1685491,1112,41.53608,1182272.7171096,0
1680309060000,28469.75,28478.19,28464.6,28475.19,37.28913,1680309119999,1061629.4622247,834,18.83862,536346.8987858,0
1680309120000,28475.18,28478.99,28475.18,28478.99,13.38597,1680309179999,381200.7991883,537,9.69423,276066.5181756,0
1680309180000,28478.99,28484.82,28477.99,28477.99,14.04581,1680309239999,400036.0861993,642,6.62283,188618.6242279,0
1680309240000,28477.99,28480.9,28477.88,28480.0,23.75685,1680309299999,676599.0672691,525,6.48372,184659.5003108,0
1680309300000,28480.01,28480.01,28463.41,28463.42,13.362,1680309359999,380464.1498201,626,4.60687,131162.4435415,0
1680309360000,28463.42,28471.28,28463.41,28471.27,9.78981,1680309419999,278681.0072283,641,6.9939,199085.4583964,0
1680309420000,28471.28,28483.42,28471.27,28482.55,8.90565,1680309479999,253638.0764474,631,4.95188,141025.5757551,0
1680309480000,28482.55,28499.82,28482.23,28499.81,15.74134,1680309539999,448469.3705546,695,9.83793,280289.1163268,0
1680309540000,28499.81,28499.82,28494.48,28494.48,16.16332,1680309599999,460621.2494451,552,4.34454,123807.856483,0
1680309600000,28494.48,28494.49,28475.43,28475.44,14.42504,1680309659999,410977.7076134,677,3.54759,101075.4633402,0
1680309660000,28475.43,28475.44,28433.94,28444.5,60.98343,1680309719999,1734865.6544789,1516,19.51818,555150.8089723,0
1680309720000,28444.5,28444.51,28414.15,28414.16,39.71624,1680309779999,1129145.7196941,1925,11.1626,317365.2087886,0
1680309780000,28414.15,28456.46,28411.38,28445.75,47.08459,1680309839999,1338938.9897367,1351,24.83387,706185.1962763,0
1680309840000,28445.76,28453.08,28438.89,28439.81,21.67194,1680309899999,616467.1691045,846,8.17831,232640.0922964,0
1680309900000,28439.8,28448.15,28431.21,28431.76,19.54073,1680309959999,555783.0013086,862,6.74202,191755.3033476,0
1680309960000,28431.77,28436.51,28419.99,28419.99,21.8398,1680310019999,620874.3306091,878,10.97253,311942.6425612,0
1680310020000,28419.99,28420.43,28408.57,28416.13,74.18101,1680310079999,2107911.5128542,1559,17.08578,485499.9273925,0
1680310080000,28416.13,28431.73,28411.8,28420.5,20.14948,1680310139999,572679.429262,849,10.15979,288763.5442989,0
1680310140000,28420.51,28424.86,28418.83,28418.84,14.07377,1680310199999,399994.5399445,532,6.06218,172292.7363969,0
1680310200000,28418.83,28431.9,28418.83,28430.73,36.24425,1680310259999,1030211.1768324,661,26.65625,757627.7844895,0
1680310260000,28430.73,28432.65,28427.44,28430.89,5.77834,1680310319999,164282.1404474,454,2.17453,61822.3499131,0
